City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Hilo,US,2021-04-17 21:29:17,19.7297,-155.09,82.4,51,20,8.05
89,Pahrump,US,2021-04-17 21:29:17,36.2083,-115.9839,71.01,12,0,15.99
90,Saskylakh,RU,2021-04-17 21:29:18,71.9167,114.0833,6.87,95,100,11.3
91,Upata,VE,2021-04-17 21:29:18,8.0086,-62.3989,90.0,57,82,5.01
92,Ilulissat,GL,2021-04-17 21:29:18,69.2167,-51.1,8.6,61,20,11.5
93,Greenfield,US,2021-04-17 21:29:19,42.9614,-88.0126,57.0,40,75,10.36
94,East London,ZA,2021-04-17 21:29:19,-33.0153,27.9116,65.52,71,100,13.67
95,Nuuk,GL,2021-04-17 21:29:20,64.1835,-51.7216,15.8,53,40,10.36
96,Constitucion,CL,2021-04-17 21:29:20,-35.3333,-72.4167,60.42,75,67,4.36
97,Chokurdakh,RU,2021-04-17 21:29:21,70.6333,147.9167,9.45,92,100,4.45
98,Golaghat,IN,2021-04-17 21:29:21,26.5167,93.9667,68.41,82,11,2.37
99,Cape Town,ZA,2021-04-17 21:29:21,-33.9258,18.4232,66.99,82,0,4.61
100,Labuhan,ID,2021-04-17 21:29:22,-6.8844,112.2051,76.66,88,81,6.04
101,Songjianghe,CN,2021-04-17 21:29:22,42.1859,127.479,27.3,93,28,2.53
102,Hammerfest,NO,2021-04-17 21:29:23,70.6634,23.6821,39.2,70,0,8.05
103,Riwaka,NZ,2021-04-17 21:29:23,-41.0833,173.0,53.01,85,19,1.99
104,Ribeira Grande,PT,2021-04-17 21:29:23,38.5167,-28.7,64.4,94,20,10.36
105,Hermanus,ZA,2021-04-17 21:29:24,-34.4187,19.2345,66.99,57,0,5.7
106,Kahului,US,2021-04-17 21:24:28,20.8947,-156.47,73.0,100,40,9.22
107,Ravar,IR,2021-04-17 21:29:25,31.2656,56.8055,69.48,22,100,5.59
108,Lerwick,GB,2021-04-17 21:29:25,60.1545,-1.1494,42.8,75,0,19.57
109,Llanes,ES,2021-04-17 21:29:26,43.4198,-4.7549,51.01,62,7,11.97
110,Quatre Cocos,MU,2021-04-17 21:29:26,-20.2078,57.7625,78.01,88,75,8.05
111,Saint George,US,2021-04-17 21:29:26,37.1041,-113.5841,66.99,20,20,16.11
112,Dali,CN,2021-04-17 21:29:04,25.7,100.1833,51.57,86,37,4.12
113,Kurikka,FI,2021-04-17 21:29:27,62.6167,22.4167,39.99,86,0,1.14
114,Yebaishou,CN,2021-04-17 21:29:27,41.3975,119.6408,40.14,24,0,3.78
115,Yulara,AU,2021-04-17 21:29:28,-25.2406,130.9889,53.6,58,0,6.91
116,San Diego De La Union,MX,2021-04-17 21:29:28,21.4667,-100.8667,90.0,14,0,11.01
117,Luanda,AO,2021-04-17 21:24:51,-8.8368,13.2343,82.4,83,20,10.36
118,Ponta Do Sol,PT,2021-04-17 21:29:29,32.6667,-17.1,57.99,68,99,1.99
119,Tuatapere,NZ,2021-04-17 21:29:29,-46.1333,167.6833,54.0,84,95,10.0
120,Cidreira,BR,2021-04-17 21:29:29,-30.1811,-50.2056,71.42,83,100,10.07
121,Saint-Jean-Port-Joli,CA,2021-04-17 21:29:30,47.2171,-70.2658,42.8,80,100,9.22
122,Talnakh,RU,2021-04-17 21:29:30,69.4865,88.3972,-23.48,95,67,2.64
123,Katsuura,JP,2021-04-17 21:29:31,35.1333,140.3,61.0,67,100,8.99
124,Lavrentiya,RU,2021-04-17 21:29:31,65.5833,-171.0,31.68,89,100,11.5
125,Sisimiut,GL,2021-04-17 21:29:32,66.9395,-53.6735,17.06,82,100,6.11
126,Yavaros,MX,2021-04-17 21:29:32,26.7,-109.5167,91.99,34,0,12.59
127,Hamilton,US,2021-04-17 21:25:25,39.1834,-84.5333,54.0,66,90,5.75
128,Albany,US,2021-04-17 21:29:33,42.6001,-73.9662,51.01,52,100,6.76
129,Hailar,CN,2021-04-17 21:18:12,49.2,119.7,25.83,75,3,7.02
130,Faya,SA,2021-04-17 21:29:33,18.3851,42.4509,60.8,63,40,5.75
131,Mao,ES,2021-04-17 21:29:34,39.8885,4.2658,46.4,87,75,5.75
