City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
351,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
353,Ambon,ID,84.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
359,Am Timan,TD,84.15,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
361,Axim,GH,80.35,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
362,Thinadhoo,MV,82.35,broken clouds,0.5333,72.9333,
364,San Policarpo,PH,77.36,heavy intensity rain,12.1791,125.5072,JM Lodge
367,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
368,Teknaf,BD,78.39,clear sky,20.8624,92.3058,Forestry Guesthouse
371,Pontianak,ID,77.0,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
377,Jardim,BR,75.9,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
379,Eyl,SO,82.24,overcast clouds,7.9803,49.8164,Amiin Hotel
380,Buala,SB,85.86,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
381,Kouroussa,GN,76.86,overcast clouds,10.65,-9.8833,Hotel Paillote
385,Meulaboh,ID,78.76,overcast clouds,4.1363,96.1285,Kost Pria
393,Vanimo,PG,84.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
398,Awjilah,LY,77.85,broken clouds,29.1081,21.2869,
401,Chauk,MM,84.04,clear sky,20.8833,94.8167,Bo Khin Guest House
404,Cam Ranh,VN,84.2,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
408,Gold Coast,AU,75.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
413,Topolobampo,MX,82.4,clear sky,25.6,-109.05,Hotel Marina Topolobampo
419,Trincomalee,LK,79.34,overcast clouds,8.5711,81.2335,Welcombe Hotel
420,Mana,GF,78.51,broken clouds,5.6592,-53.7767,LE SAMANA
426,San Pedro De Macoris,DO,80.01,scattered clouds,18.4616,-69.2972,Apartahotel Guaraguao
428,Kaili,ID,76.03,broken clouds,-3.4626,120.2147,
431,Bengkulu,ID,77.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
432,Sai Buri,TH,82.4,few clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
435,Phangnga,TH,86.0,few clouds,8.4509,98.5298,Rattanapong Hotel
441,Angoche,MZ,75.63,overcast clouds,-16.2325,39.9086,Guest House HESADA
444,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
445,Tanete,ID,84.4,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
446,Dire,ML,83.39,overcast clouds,12.2833,-10.9667,
447,Pyay,MM,83.3,clear sky,18.8167,95.2167,Shwe Pyi Thar
