City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Chokwe,MZ,-24.5333,32.9833,58.98,79,0,3.56,clear sky
150,Aksha,RU,50.2814,113.2867,51.03,39,100,17.49,overcast clouds
151,Dakar,SN,14.6937,-17.4441,68.0,88,0,9.22,clear sky
152,New Norfolk,AU,-42.7826,147.0587,63.0,76,100,5.99,light rain
153,Santa Barbara,US,34.7333,-120.0343,71.01,59,1,10.36,clear sky
154,Cabo San Lucas,MX,22.8909,-109.9124,78.8,41,1,4.61,clear sky
155,Half Moon Bay,US,37.4636,-122.4286,64.0,93,75,12.66,mist
156,Springbok,ZA,-29.6643,17.8865,71.55,24,6,7.36,clear sky
157,Belaya Gora,RU,68.5333,146.4167,24.58,74,2,15.64,clear sky
158,Saint-Joseph,RE,-21.3667,55.6167,73.4,88,90,8.05,overcast clouds
159,Adrar,MR,20.5022,-10.0711,72.12,21,0,10.22,clear sky
160,Kaoma,ZM,-14.7833,24.8,59.54,70,100,7.56,overcast clouds
161,Renqiu,CN,38.6989,116.0936,59.54,19,0,7.38,clear sky
162,Inirida,CO,3.8653,-67.9239,74.55,95,100,2.51,overcast clouds
163,La Ronge,CA,55.1001,-105.2842,41.0,56,100,13.8,overcast clouds
164,Ternate,ID,0.8,127.4,83.12,73,44,6.76,scattered clouds
165,Namatanai,PG,-3.6667,152.4333,85.05,69,82,13.8,broken clouds
166,Oban,GB,56.4127,-5.4706,46.99,66,100,1.01,heavy intensity rain
167,Longyearbyen,SJ,78.2186,15.6401,32.0,69,75,3.44,broken clouds
168,Georgetown,MY,5.4112,100.3354,84.2,83,20,2.3,few clouds
169,Lossiemouth,GB,57.7214,-3.2834,44.01,70,0,8.05,clear sky
170,Touros,BR,-5.1989,-35.4608,77.0,94,40,3.44,scattered clouds
171,Gonen,TR,40.1049,27.654,54.0,93,75,6.91,broken clouds
172,Lima,PE,-12.0432,-77.0282,68.0,77,0,11.5,clear sky
173,Makubetsu,JP,45.3714,141.8211,44.6,93,75,21.85,light rain
174,Bantry,IE,51.6833,-9.45,44.6,100,75,8.05,broken clouds
175,Vila Velha,BR,-20.3297,-40.2925,77.0,94,90,2.3,overcast clouds
176,Severo-Kurilsk,RU,50.6789,156.125,38.57,60,100,9.98,overcast clouds
177,Ayagoz,KZ,47.9714,80.4392,44.78,76,6,5.41,clear sky
178,Bluff,NZ,-46.6,168.3333,60.01,73,90,7.0,overcast clouds
179,Kavieng,PG,-2.5744,150.7967,83.53,73,81,9.98,light rain
180,Upernavik,GL,72.7868,-56.1549,4.17,88,100,8.12,overcast clouds
181,Guatire,VE,10.4762,-66.5427,82.4,78,40,5.75,scattered clouds
182,Billings,US,45.7833,-108.5007,62.01,18,40,4.61,scattered clouds
183,Amga,RU,60.8953,131.9608,28.04,78,100,3.8,overcast clouds
184,Arroyo,ES,41.6096,-4.7969,37.0,80,0,11.5,clear sky
185,Kolaras,IN,25.2333,77.6,77.22,33,0,6.22,clear sky
186,Luang Prabang,LA,19.8856,102.1347,75.2,94,75,0.92,mist
187,East London,ZA,-33.0153,27.9116,62.67,54,11,9.17,few clouds
188,Port Alfred,ZA,-33.5906,26.891,65.59,51,6,10.87,clear sky
189,Sept-Iles,CA,50.2001,-66.3821,32.0,80,20,6.91,few clouds
190,Tete,MZ,-16.1564,33.5867,69.8,73,75,5.75,broken clouds
191,Port Elizabeth,ZA,-33.918,25.5701,53.6,94,0,5.75,clear sky
192,Palu,ID,-0.8917,119.8707,82.35,77,100,2.53,overcast clouds
193,Nouadhibou,MR,20.931,-17.0347,65.05,83,0,21.5,clear sky
194,Isangel,VU,-19.55,169.2667,82.4,83,75,3.44,broken clouds
195,Vrangel,RU,42.7297,133.0839,48.56,51,100,16.28,overcast clouds
196,Kununurra,AU,-15.7667,128.7333,82.4,24,19,13.8,few clouds
197,Hambantota,LK,6.1241,81.1185,77.0,100,40,3.44,scattered clouds
198,Naze,JP,28.3667,129.4833,66.2,48,40,17.27,scattered clouds
199,Halifax,CA,44.6453,-63.5724,39.99,100,100,12.66,moderate rain
200,Langfang,CN,39.5097,116.6947,59.0,26,0,4.47,clear sky
201,Norman Wells,CA,65.282,-126.8329,50.0,34,20,10.36,few clouds
202,Buraydah,SA,26.326,43.975,68.0,52,0,6.91,clear sky
203,Pisco,PE,-13.7,-76.2167,68.0,83,0,13.8,clear sky
204,Ust-Kuyga,RU,70.0167,135.6,17.37,87,100,6.69,light snow
205,Ulsteinvik,NO,62.3432,5.8487,41.0,56,1,10.36,clear sky
206,Constitucion,CL,-35.3333,-72.4167,55.8,87,100,3.98,overcast clouds
